title,season,episode_number,air_date,month,year,colors,subjects,image_link,youtube_link,notes
Oval Barn,11,6,1987-02-04,February,1987,"Bright Red, Dark Sienna, Midnight Black, Prussian Blue, Titanium White, Van Dyke Brown","BARN, BUSHES, CLOUDS, CUMULUS, DECIDUOUS, FRAMED, OVAL_FRAME, SNOW, STRUCTURE, TREE, TREES, WINTER",https://www.twoinchbrush.com/images/painting155.png,https://www.youtube.com/embed/HqBhCibidNM,
Lakeside Path,11,7,1987-02-11,February,1987,"Alizarin Crimson, Bright Red, Cadmium Yellow, Dark Sienna, Indian Yellow, Midnight Black, Phthalo Blue, Prussian Blue, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre","BUSHES, CLOUDS, CONIFER, CUMULUS, DECIDUOUS, GRASS, LAKE, PATH, ROCKS, TREE, TREES",https://www.twoinchbrush.com/images/painting156.png,https://www.youtube.com/embed/1yjGoJokbZg,
Sunset Oval,11,8,1987-02-18,February,1987,"Alizarin Crimson, Bright Red, Cadmium Yellow, Dark Sienna, Indian Yellow, Midnight Black, Phthalo Blue, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre","BUSHES, CLOUDS, CONIFER, CUMULUS, DECIDUOUS, FRAMED, LAKE, MOUNTAIN, OVAL_FRAME, SNOWY_MOUNTAIN, TREE, TREES",https://www.twoinchbrush.com/images/painting157.png,https://www.youtube.com/embed/9xG6IzcGotI,
Winter Barn,11,9,1987-02-25,February,1987,"Alizarin Crimson, Dark Sienna, Midnight Black, Phthalo Blue, Titanium White, Van Dyke Brown","BARN, CIRRUS, CLOUDS, DECIDUOUS, SNOW, STRUCTURE, TREE, TREES, WINTER",https://www.twoinchbrush.com/images/painting158.png,https://www.youtube.com/embed/_xkn0ceDreo,
Sunset Over the Waves,11,10,1987-03-04,March,1987,"Alizarin Crimson, Black Gesso, Bright Red, Cadmium Yellow, Dark Sienna, Indian Yellow, Midnight Black, Phthalo Blue, Titanium White, Van Dyke Brown","BEACH, CLOUDS, OCEAN, ROCKS, SUN, WAVES",https://www.twoinchbrush.com/images/painting159.png,https://www.youtube.com/embed/c4b_B2F1eZg,
Golden Glow,11,11,1987-03-11,March,1987,"Cadmium Yellow, Dark Sienna, Indian Yellow, Liquid Clear, Prussian Blue, Titanium White, Van Dyke Brown, Yellow Ochre","CLOUDS, CONIFER, LAKE, SNOW, TREE, TREES, WATERFALL",https://www.twoinchbrush.com/images/painting160.png,https://www.youtube.com/embed/aA8RhtaWACA,
Roadside Barn,11,12,1987-03-18,March,1987,"Alizarin Crimson, Bright Red, Cadmium Yellow, Dark Sienna, Indian Yellow, Midnight Black, Prussian Blue, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre","BARN, CLOUDS, CUMULUS, DECIDUOUS, FENCE, LAKE, PATH, STRUCTURE, TREE, TREES",https://www.twoinchbrush.com/images/painting161.png,https://www.youtube.com/embed/vJpKhiXvXdA,
Happy Accident,11,13,1987-03-25,March,1987,"Alizarin Crimson, Bright Red, Cadmium Yellow, Dark Sienna, Indian Yellow, Midnight Black, Prussian Blue, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre","BUSHES, DECIDUOUS, GRASS, RIVER, ROCKS, TREE, TREES",https://www.twoinchbrush.com/images/painting162.png,https://www.youtube.com/embed/Fw6odlNp7_8,
Golden Knoll,12,1,1987-04-29,April,1987,"Cadmium Yellow, Dark Sienna, Indian Yellow, Midnight Black, Titanium White, Van Dyke Brown, Yellow Ochre","CABIN, DECIDUOUS, FOG, GRASS, STRUCTURE, SUN, TREE",https://www.twoinchbrush.com/images/painting137.png,https://www.youtube.com/embed/-O0Bs65eN5w,
Mountain Reflections,12,2,1987-05-06,May,1987,"Alizarin Crimson, Bright Red, Cadmium Yellow, Dark Sienna, Indian Yellow, Midnight Black, Phthalo Blue, Prussian Blue, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre","BUSHES, CLOUDS, CONIFER, CUMULUS, MOUNTAIN, MOUNTAINS, RIVER, ROCKS, SNOWY_MOUNTAIN, TREE, TREES",https://www.twoinchbrush.com/images/painting138.png,https://www.youtube.com/embed/rzYpa4XGSnA,
Secluded Mountain,12,3,1987-05-13,May,1987,"Alizarin Crimson, Bright Red, Cadmium Yellow, Dark Sienna, Indian Yellow, Midnight Black, Phthalo Blue, Phthalo Green, Prussian Blue, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre","CLOUDS, CONIFER, CUMULUS, DECIDUOUS, GRASS, LAKE, MOUNTAIN, ROCKS, TREE, TREES",https://www.twoinchbrush.com/images/painting139.png,https://www.youtube.com/embed/3PZabdohLso,
Bright Autumn Trees,12,4,1987-05-20,May,1987,"Alizarin Crimson, Bright Red, Cadmium Yellow, Dark Sienna, Indian Yellow, Liquid Black, Midnight Black, Phthalo Green, Prussian Blue, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre","BUSHES, DECIDUOUS, PATH, RIVER, TREE, TREES",https://www.twoinchbrush.com/images/painting140.png,https://www.youtube.com/embed/aR-C3h5zURM,
Black Seascape,12,5,1987-05-27,May,1987,"Black Gesso, Bright Red, Cadmium Yellow, Dark Sienna, Midnight Black, Phthalo Blue, Phthalo Green, Titanium White, Van Dyke Brown","BEACH, CLOUDS, CUMULUS, NIGHT, OCEAN, ROCKS, WAVES",https://www.twoinchbrush.com/images/painting141.png,https://www.youtube.com/embed/P_aCan4cBwc,
Steep Mountains,12,6,1987-06-03,June,1987,"Alizarin Crimson, Bright Red, Cadmium Yellow, Dark Sienna, Indian Yellow, Midnight Black, Phthalo Blue, Prussian Blue, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre","BUSHES, CABIN, CIRRUS, CLOUDS, CONIFER, DECIDUOUS, GRASS, LAKE, MOUNTAIN, MOUNTAINS, STRUCTURE, TREE, TREES",https://www.twoinchbrush.com/images/painting142.png,https://www.youtube.com/embed/fRK8_ioYWw4,
Quiet Mountain River,12,7,1987-06-10,June,1987,"Alizarin Crimson, Bright Red, Cadmium Yellow, Dark Sienna, Indian Yellow, Midnight Black, Phthalo Blue, Prussian Blue, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre","BUSHES, CLOUDS, CONIFER, CUMULUS, DECIDUOUS, GRASS, MOUNTAIN, RIVER, SNOWY_MOUNTAIN, TREE, TREES",https://www.twoinchbrush.com/images/painting143.png,https://www.youtube.com/embed/Leiw-FtADZc,
Evening Waterfall,12,8,1987-06-17,June,1987,"Black Gesso, Bright Red, Cadmium Yellow, Dark Sienna, Indian Yellow, Midnight Black, Phthalo Blue, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre","CONIFER, GRASS, RIVER, TREE, TREES, WATERFALL",https://www.twoinchbrush.com/images/painting144.png,https://www.youtube.com/embed/PutvF_P4588,
Tropical Seascape,12,9,1987-06-24,June,1987,"Alizarin Crimson, Bright Red, Cadmium Yellow, Dark Sienna, Indian Yellow, Liquid Clear, Midnight Black, Phthalo Blue, Prussian Blue, Titanium White, Van Dyke Brown, Yellow Ochre","BEACH, CIRRUS, CLOUDS, OCEAN, PALM_TREES, WAVES",https://www.twoinchbrush.com/images/painting145.png,https://www.youtube.com/embed/RrBsbqO9aqI,
Mountain at Sunset,12,10,1987-07-01,July,1987,"Alizarin Crimson, Bright Red, Cadmium Yellow, Dark Sienna, Indian Yellow, Liquid Clear, Midnight Black, Phthalo Blue, Prussian Blue, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre","BUSHES, CLOUDS, CONIFER, DECIDUOUS, GRASS, MOUNTAIN, RIVER, SNOWY_MOUNTAIN, TREE, TREES",https://www.twoinchbrush.com/images/painting146.png,https://www.youtube.com/embed/HCsCatvigtw,
Soft Mountain Glow,12,11,1987-07-08,July,1987,"Alizarin Crimson, Bright Red, Cadmium Yellow, Dark Sienna, Indian Yellow, Midnight Black, Phthalo Blue, Prussian Blue, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre","BUSHES, CONIFER, GRASS, MOUNTAIN, RIVER, SNOWY_MOUNTAIN, TREE, TREES",https://www.twoinchbrush.com/images/painting147.png,https://www.youtube.com/embed/gOGJYHWjXgE,
Mountain in an Oval,12,12,1987-07-15,July,1987,"Alizarin Crimson, Bright Red, Cadmium Yellow, Dark Sienna, Indian Yellow, Midnight Black, Phthalo Blue, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre","BUSHES, CLOUDS, CONIFER, CUMULUS, DECIDUOUS, FRAMED, GRASS, MOUNTAIN, MOUNTAINS, OVAL_FRAME, RIVER, SUN, TREE, TREES",https://www.twoinchbrush.com/images/painting148.png,https://www.youtube.com/embed/1jRPshs27H8,
Winter Mountain,12,13,1987-07-22,July,1987,"Alizarin Crimson, Bright Red, Midnight Black, Phthalo Blue, Prussian Blue, Titanium White, Van Dyke Brown","CONIFER, MOUNTAIN, MOUNTAINS, RIVER, SNOW, SNOWY_MOUNTAIN, TREE, TREES, WINTER",https://www.twoinchbrush.com/images/painting149.png,https://www.youtube.com/embed/46vI20697HI,
Rolling Hills,13,1,1987-09-02,September,1987,"Alizarin Crimson, Bright Red, Cadmium Yellow, Dark Sienna, Indian Yellow, Midnight Black, Phthalo Blue, Prussian Blue, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre","BUSHES, DECIDUOUS, GRASS, HILLS, LAKE, TREE, TREES",https://www.twoinchbrush.com/images/painting124.png,https://www.youtube.com/embed/H4GyGrT7lEQ,
Frozen Solitude,13,2,1987-09-09,September,1987,"Dark Sienna, Midnight Black, Prussian Blue, Titanium White, Van Dyke Brown","BUSHES, CABIN, CLOUDS, CONIFER, LAKE, MOUNTAIN, MOUNTAINS, SNOW, SNOWY_MOUNTAIN, STRUCTURE, TREE, TREES, WINTER",https://www.twoinchbrush.com/images/painting125.png,https://www.youtube.com/embed/kNZssD9zWlw,
Meadow Brook,13,3,1987-09-16,September,1987,"Alizarin Crimson, Bright Red, Cadmium Yellow, Dark Sienna, Indian Yellow, Midnight Black, Phthalo Blue, Phthalo Green, Prussian Blue, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre","CIRRUS, CLOUDS, DECIDUOUS, FRAMED, GRASS, MOUNTAIN, OVAL_FRAME, RIVER, TREE, TREES",https://www.twoinchbrush.com/images/painting126.png,https://www.youtube.com/embed/06W8GsWj2Yg,
Evening Sunset,13,4,1987-09-23,September,1987,"Alizarin Crimson, Black Gesso, Bright Red, Cadmium Yellow, Dark Sienna, Indian Yellow, Midnight Black, Phthalo Blue, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre","BUSHES, CABIN, CIRRUS, CLOUDS, CONIFER, DECIDUOUS, RIVER, ROCKS, STRUCTURE, TREE, TREES",https://www.twoinchbrush.com/images/painting127.png,https://www.youtube.com/embed/7ZUQTXuDPaI,
Mountain View,13,5,1987-09-30,September,1987,"Alizarin Crimson, Bright Red, Cadmium Yellow, Dark Sienna, Indian Yellow, Midnight Black, Phthalo Blue, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre","CLOUDS, DECIDUOUS, GRASS, MOUNTAIN, MOUNTAINS, RIVER, ROCKS, TREE, TREES",https://www.twoinchbrush.com/images/painting128.png,https://www.youtube.com/embed/dJfnAyDLwPY,
Hidden Creek,13,6,1987-10-07,October,1987,"Black Gesso, Cadmium Yellow, Dark Sienna, Indian Yellow, Midnight Black, Phthalo Blue, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre","DECIDUOUS, GRASS, RIVER, TREE, TREES",https://www.twoinchbrush.com/images/painting129.png,https://www.youtube.com/embed/KmoRz01bm0Y,
Peaceful Haven,13,7,1987-10-14,October,1987,"Alizarin Crimson, Bright Red, Cadmium Yellow, Dark Sienna, Indian Yellow, Midnight Black, Phthalo Blue, Phthalo Green, Prussian Blue, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre","CLOUDS, CONIFER, CUMULUS, PATH, RIVER, TREE, TREES",https://www.twoinchbrush.com/images/painting130.png,https://www.youtube.com/embed/j20pZ96E_CE,
Mountain Exhibition,13,8,1987-10-21,October,1987,"Alizarin Crimson, Cadmium Yellow, Dark Sienna, Indian Yellow, Midnight Black, Phthalo Blue, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre","CLOUDS, CONIFER, CUMULUS, GRASS, MOUNTAIN, MOUNTAINS, RIVER, SNOWY_MOUNTAIN, TREE, TREES",https://www.twoinchbrush.com/images/painting131.png,https://www.youtube.com/embed/bgI3_1quJ18,
Emerald Waters,13,9,1987-10-28,October,1987,"Black Gesso, Cadmium Yellow, Dark Sienna, Midnight Black, Prussian Blue, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre","BUSHES, DECIDUOUS, LAKE, TREE, TREES",https://www.twoinchbrush.com/images/painting132.png,https://www.youtube.com/embed/lLunPQBzW6g,
Mountain Summit,13,10,1987-11-04,November,1987,"Alizarin Crimson, Bright Red, Cadmium Yellow, Dark Sienna, Indian Yellow, Midnight Black, Phthalo Blue, Prussian Blue, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre","BUSHES, CLOUDS, CONIFER, CUMULUS, DECIDUOUS, MOUNTAIN, RIVER, SNOWY_MOUNTAIN, TREE, TREES",https://www.twoinchbrush.com/images/painting133.png,https://www.youtube.com/embed/kasGRkfkiPM,
Cabin Hideaway,13,11,1987-11-11,November,1987,"Alizarin Crimson, Bright Red, Cadmium Yellow, Dark Sienna, Midnight Black, Phthalo Blue, Prussian Blue, Titanium White, Van Dyke Brown, Yellow Ochre","CABIN, CONIFER, DECIDUOUS, LAKE, MOUNTAIN, MOUNTAINS, SNOW, STRUCTURE, TREE, TREES, WINTER",https://www.twoinchbrush.com/images/painting134.png,https://www.youtube.com/embed/NjTlW2NL1Lo,
Oval Essence,13,12,1987-11-18,November,1987,"Alizarin Crimson, Cadmium Yellow, Dark Sienna, Midnight Black, Phthalo Blue, Phthalo Green, Titanium White, Van Dyke Brown","CLOUDS, CONIFER, FRAMED, NIGHT, OCEAN, OVAL_FRAME, ROCKS, TREE, TREES, WAVES",https://www.twoinchbrush.com/images/painting135.png,https://www.youtube.com/embed/q7WXF_BSEXw,
Lost Lake,13,13,1987-11-25,November,1987,"Alizarin Crimson, Bright Red, Cadmium Yellow, Dark Sienna, Indian Yellow, Midnight Black, Phthalo Blue, Prussian Blue, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre","CONIFER, GRASS, LAKE, MOUNTAIN, MOUNTAINS, PATH, SNOWY_MOUNTAIN, TREE, TREES",https://www.twoinchbrush.com/images/painting136.png,https://www.youtube.com/embed/9-ATP8xyDM0,
Distant Mountains,14,1,1987-12-30,December,1987,"Alizarin Crimson, Bright Red, Cadmium Yellow, Dark Sienna, Indian Yellow, Midnight Black, Phthalo Blue, Phthalo Green, Prussian Blue, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre","BUSHES, CLOUDS, CONIFER, CUMULUS, LAKE, MOUNTAIN, MOUNTAINS, PATH, SNOWY_MOUNTAIN, TREE, TREES",https://www.twoinchbrush.com/images/painting111.png,https://www.youtube.com/embed/GpA9UM7QGag,
Meadow Brook Surprise,14,2,1988-01-06,January,1988,"Alizarin Crimson, Bright Red, Cadmium Yellow, Dark Sienna, Indian Yellow, Midnight Black, Phthalo Blue, Prussian Blue, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre","CONIFER, GRASS, RIVER, TREE, TREES",https://www.twoinchbrush.com/images/painting112.png,https://www.youtube.com/embed/Ov5oIHTAa10,
Mountain Moonlight Oval,14,3,1988-01-13,January,1988,"Alizarin Crimson, Black Gesso, Cadmium Yellow, Dark Sienna, Indian Yellow, Midnight Black, Phthalo Blue, Prussian Blue, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre","CONIFER, DECIDUOUS, FRAMED, GRASS, MOUNTAIN, MOUNTAINS, NIGHT, OVAL_FRAME, TREE, TREES",https://www.twoinchbrush.com/images/painting113.png,https://www.youtube.com/embed/CigXQtT6BPM,
Snowy Solitude,14,4,1988-01-20,January,1988,"Alizarin Crimson, Dark Sienna, Midnight Black, Phthalo Blue, Titanium White, Van Dyke Brown, Yellow Ochre","CIRRUS, CLOUDS, DECIDUOUS, FENCE, SNOW, TREE, TREES, WINTER",https://www.twoinchbrush.com/images/painting114.png,https://www.youtube.com/embed/1ZriQGhSFTM,
Mountain River,14,5,1988-01-27,January,1988,"Alizarin Crimson, Bright Red, Cadmium Yellow, Dark Sienna, Indian Yellow, Midnight Black, Phthalo Blue, Phthalo Green, Prussian Blue, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre","BUSHES, CLOUDS, CONIFER, CUMULUS, FOG, FRAMED, MOUNTAIN, MOUNTAINS, RIVER, ROCKS, TOMB_FRAME, TREE, TREES",https://www.twoinchbrush.com/images/painting115.png,https://www.youtube.com/embed/CnMLKAGi0yM,
Graceful Mountains,14,6,1988-02-03,February,1988,"Alizarin Crimson, Bright Red, Cadmium Yellow, Dark Sienna, Indian Yellow, Midnight Black, Phthalo Blue, Prussian Blue, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre","CIRRUS, CLOUDS, CONIFER, DECIDUOUS, MOUNTAIN, MOUNTAINS, RIVER, SNOWY_MOUNTAIN, TREE, TREES",https://www.twoinchbrush.com/images/painting116.png,https://www.youtube.com/embed/0uVe8T-vVVg,
Windy Waves,14,7,1988-02-10,February,1988,"Alizarin Crimson, Bright Red, Cadmium Yellow, Dark Sienna, Indian Yellow, Liquid Black, Midnight Black, Phthalo Blue, Phthalo Green, Prussian Blue, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre","BEACH, CLOUDS, CUMULUS, GRASS, OCEAN, PALM_TREES, WAVES",https://www.twoinchbrush.com/images/painting117.png,https://www.youtube.com/embed/y6GVVjG4HMg,
On a Clear Day,14,8,1988-02-17,February,1988,"Alizarin Crimson, Bright Red, Cadmium Yellow, Dark Sienna, Indian Yellow, Midnight Black, Phthalo Blue, Prussian Blue, Titanium White, Van Dyke Brown, Yellow Ochre","CONIFER, MOUNTAIN, RIVER, SNOW, SNOWY_MOUNTAIN, SUN, TREE, TREES, WINTER",https://www.twoinchbrush.com/images/painting118.png,https://www.youtube.com/embed/e63Cgln6Yag,
Riverside Escape Oval,14,9,1988-02-24,February,1988,"Alizarin Crimson, Bright Red, Cadmium Yellow, Dark Sienna, Indian Yellow, Midnight Black, Phthalo Blue, Phthalo Green, Prussian Blue, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre","CLOUDS, CUMULUS, DECIDUOUS, FRAMED, OVAL_FRAME, PATH, RIVER, TREE, TREES",https://www.twoinchbrush.com/images/painting119.png,https://www.youtube.com/embed/d83REwSGfGo,
Surprising Falls,14,10,1988-03-02,March,1988,"Alizarin Crimson, Bright Red, Cadmium Yellow, Dark Sienna, Indian Yellow, Midnight Black, Phthalo Blue, Phthalo Green, Prussian Blue, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre","CIRRUS, CLOUDS, DECIDUOUS, GUEST, LAKE, MOUNTAIN, MOUNTAINS, SNOWY_MOUNTAIN, STEVE_ROSS, TREE, WATERFALL",https://www.twoinchbrush.com/images/painting120.png,https://www.youtube.com/embed/QbclL1ca7_s,
Shadow Pond,14,11,1988-03-09,March,1988,"Alizarin Crimson, Black Gesso, Bright Red, Cadmium Yellow, Dark Sienna, Indian Yellow, Midnight Black, Phthalo Blue, Prussian Blue, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre","DECIDUOUS, GRASS, LAKE, TREE, TREES",https://www.twoinchbrush.com/images/painting121.png,https://www.youtube.com/embed/BQWJ3kqonpA,
Misty Forest,14,12,1988-03-16,March,1988,"Alizarin Crimson, Black Gesso, Bright Red, Cadmium Yellow, Dark Sienna, Indian Yellow, Midnight Black, Phthalo Blue, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre","CLOUDS, DECIDUOUS, FOG, FRAMED, GRASS, OVAL_FRAME, TREE, TREES",https://www.twoinchbrush.com/images/painting122.png,https://www.youtube.com/embed/ddU9vQvSpw8,
Natural Wonder,14,13,1988-03-23,March,1988,"Alizarin Crimson, Cadmium Yellow, Dark Sienna, Indian Yellow, Midnight Black, Phthalo Blue, Prussian Blue, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre","CLOUDS, CONIFER, CUMULUS, DECIDUOUS, GRASS, LAKE, MOUNTAIN, SNOWY_MOUNTAIN, TREE, TREES",https://www.twoinchbrush.com/images/painting123.png,https://www.youtube.com/embed/knOutsaiKfU,
Splendor of Winter,15,1,1988-04-27,April,1988,"Alizarin Crimson, Bright Red, Cadmium Yellow, Dark Sienna, Midnight Black, Phthalo Blue, Prussian Blue, Titanium White, Van Dyke Brown, Yellow Ochre","BUSHES, CIRRUS, CLOUDS, CONIFER, DECIDUOUS, SNOW, SUN, TREE, TREES, WINTER",https://www.twoinchbrush.com/images/painting98.png,https://www.youtube.com/embed/oJvk7gPDHiE,
Colors of Nature,15,2,1988-05-04,May,1988,"Alizarin Crimson, Bright Red, Cadmium Yellow, Dark Sienna, Indian Yellow, Midnight Black, Phthalo Blue, Prussian Blue, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre","CLOUDS, CUMULUS, DECIDUOUS, GRASS, RIVER, TREE, TREES",https://www.twoinchbrush.com/images/painting99.png,https://www.youtube.com/embed/Me9Ietooq4w,
Grandpa's Barn,15,3,1988-05-11,May,1988,"Alizarin Crimson, Bright Red, Cadmium Yellow, Dark Sienna, Indian Yellow, Midnight Black, Prussian Blue, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre","BARN, DECIDUOUS, FENCE, GRASS, PATH, STRUCTURE, TREE, TREES",https://www.twoinchbrush.com/images/painting100.png,https://www.youtube.com/embed/IPPU49PyfEA,
Peaceful Reflections,15,4,1988-05-18,May,1988,"Alizarin Crimson, Bright Red, Cadmium Yellow, Dark Sienna, Indian Yellow, Midnight Black, Phthalo Blue, Phthalo Green, Prussian Blue, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre",,https://www.twoinchbrush.com/images/painting101.png,https://www.youtube.com/embed/gYuH4Ilqdhs,
Hidden Winter Moon Oval,15,5,1988-05-25,May,1988,"Alizarin Crimson, Black Gesso, Dark Sienna, Midnight Black, Phthalo Blue, Prussian Blue, Titanium White, Van Dyke Brown","CABIN, CIRRUS, CLOUDS, CONIFER, FRAMED, LAKE, MOUNTAIN, MOUNTAINS, OVAL_FRAME, SNOWY_MOUNTAIN, STRUCTURE, TREE, TREES, WINTER",https://www.twoinchbrush.com/images/painting102.png,https://www.youtube.com/embed/yxAMOdl6RJE,
Waves of Wonder,15,6,1988-06-01,June,1988,"Alizarin Crimson, Bright Red, Cadmium Yellow, Dark Sienna, Liquid Clear, Midnight Black, Phthalo Blue, Phthalo Green, Prussian Blue, Titanium White, Van Dyke Brown, Yellow Ochre","BEACH, CLOUDS, CUMULUS, OCEAN, ROCKS, WAVES",https://www.twoinchbrush.com/images/painting103.png,https://www.youtube.com/embed/tayQX_ng-Nc,
Cabin by the Pond,15,7,1988-06-08,June,1988,"Alizarin Crimson, Bright Red, Cadmium Yellow, Dark Sienna, Indian Yellow, Midnight Black, Phthalo Blue, Prussian Blue, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre","CABIN, CLOUDS, CONIFER, DECIDUOUS, GRASS, LAKE, STRUCTURE, TREE, TREES",https://www.twoinchbrush.com/images/painting104.png,https://www.youtube.com/embed/TyOO6WeP2AY,
Fall Stream,15,8,1988-06-15,June,1988,"Alizarin Crimson, Bright Red, Cadmium Yellow, Dark Sienna, Indian Yellow, Midnight Black, Phthalo Blue, Prussian Blue, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre","CLOUDS, CUMULUS, DECIDUOUS, GRASS, MOUNTAIN, MOUNTAINS, RIVER, ROCKS, TREE, TREES",https://www.twoinchbrush.com/images/painting105.png,https://www.youtube.com/embed/ZY0ofhdV_L0,
Christmas Eve Snow,15,9,1988-06-22,June,1988,"Alizarin Crimson, Black Gesso, Cadmium Yellow, Dark Sienna, Midnight Black, Phthalo Blue, Prussian Blue, Titanium White, Van Dyke Brown","CABIN, CLOUDS, CONIFER, CUMULUS, MOUNTAIN, MOUNTAINS, SNOW, SNOWY_MOUNTAIN, STRUCTURE, TREE, TREES, WINTER",https://www.twoinchbrush.com/images/painting106.png,https://www.youtube.com/embed/cVqFG2pxK2A,
Forest Dawn Oval,15,10,1988-06-29,June,1988,"Alizarin Crimson, Black Gesso, Bright Red, Cadmium Yellow, Dark Sienna, Indian Yellow, Midnight Black, Phthalo Blue, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre","BUSHES, DECIDUOUS, FRAMED, GRASS, OVAL_FRAME, PATH, TREE, TREES",https://www.twoinchbrush.com/images/painting107.png,https://www.youtube.com/embed/COsJUfPN2dA,
Pathway to Autumn,15,11,1988-07-06,July,1988,"Alizarin Crimson, Bright Red, Cadmium Yellow, Dark Sienna, Indian Yellow, Midnight Black, Phthalo Blue, Prussian Blue, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre","CABIN, DECIDUOUS, GRASS, PATH, STRUCTURE, TREE, TREES",https://www.twoinchbrush.com/images/painting108.png,https://www.youtube.com/embed/Hg5RKc6xiL4,
Deep Forest Lake,15,12,1988-07-13,July,1988,"Alizarin Crimson, Black Gesso, Bright Red, Cadmium Yellow, Dark Sienna, Indian Yellow, Midnight Black, Phthalo Blue, Prussian Blue, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre","DECIDUOUS, LAKE, ROCKS, TREE, TREES",https://www.twoinchbrush.com/images/painting109.png,https://www.youtube.com/embed/2bjFmSQjQrw,
Peaks of Majesty,15,13,1988-07-20,July,1988,"Alizarin Crimson, Cadmium Yellow, Dark Sienna, Indian Yellow, Midnight Black, Phthalo Blue, Prussian Blue, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre","CIRRUS, CLOUDS, CONIFER, GRASS, LAKE, MOUNTAIN, MOUNTAINS, TREE, TREES",https://www.twoinchbrush.com/images/painting110.png,https://www.youtube.com/embed/lTb8DN6G6dE,
Two Seasons,16,1,1988-08-17,August,1988,"Alizarin Crimson, Bright Red, Cadmium Yellow, Dark Sienna, Indian Yellow, Midnight Black, Phthalo Blue, Phthalo Green, Prussian Blue, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre","CLOUDS, CONIFER, CUMULUS, DECIDUOUS, FOG, LAKE, MOUNTAIN, SNOWY_MOUNTAIN, TREE, TREES",https://www.twoinchbrush.com/images/painting84.png,https://www.youtube.com/embed/jwVz0uTLH1I,
Nestled Cabin,16,2,1988-08-24,August,1988,"Alizarin Crimson, Black Gesso, Bright Red, Cadmium Yellow, Dark Sienna, Indian Yellow, Midnight Black, Phthalo Blue, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre","CABIN, DECIDUOUS, GRASS, PATH, STRUCTURE, TREE, TREES",https://www.twoinchbrush.com/images/painting85.png,https://www.youtube.com/embed/l_jN9KN257M,
Wintertime Discovery,16,3,1988-08-31,August,1988,"Alizarin Crimson, Bright Red, Cadmium Yellow, Dark Sienna, Indian Yellow, Midnight Black, Phthalo Blue, Prussian Blue, Titanium White, Van Dyke Brown, Yellow Ochre","CABIN, CLOUDS, CONIFER, DECIDUOUS, SNOW, STRUCTURE, TREE, TREES, WINTER",https://www.twoinchbrush.com/images/painting86.png,https://www.youtube.com/embed/uZyZW3tkCE0,
